Date,Product_ID,Product_Name,Category,State,City,Campaign,Base_Price,Discount_%,Final_Price,Units_Sold,Revenue,Cost_Per_Unit,Profit
2024-04-17,P003,Product_3,Apparel,Uttar Pradesh,Varanasi,Clearance,101.79,30,71.25,66,4702.5,67.14,271.26
2024-01-30,P016,Product_16,Electronics,Maharashtra,Mumbai,Clearance,563.44,5,535.27,22,11775.94,373.23,3564.88
2024-03-18,P003,Product_3,Apparel,Telangana,Warangal,Diwali,117.22,25,87.91,32,2813.12,89.94,-64.96
2024-04-15,P020,Product_20,Beauty,Telangana,Hyderabad,Clearance,209.35,10,188.41,36,6782.76,112.11,2746.8
2024-02-16,P016,Product_16,Electronics,Rajasthan,Udaipur,Clearance,646.98,10,582.28,78,45417.84,355.89,17658.42
2024-01-28,P010,Product_10,Home,Kerala,Thiruvananthapuram,Diwali,451.93,30,316.35,19,6010.65,271.48,852.53
2024-03-02,P014,Product_14,Apparel,West Bengal,Siliguri,Clearance,614.72,10,553.25,9,4979.25,384.04,1522.89
2024-02-16,P006,Product_6,Apparel,Kerala,Thiruvananthapuram,Summer Sale,884.32,10,795.89,67,53324.63,626.92,11320.99
2024-04-24,P016,Product_16,Electronics,Delhi,New Delhi,Summer Sale,778.24,5,739.33,29,21440.57,505.88,6770.05
2024-02-17,P013,Product_13,Beauty,Telangana,Hyderabad,Diwali,592.02,25,444.01,1,444.01,408.15,35.86
2024-03-04,P007,Product_7,Home,Rajasthan,Udaipur,Clearance,950.6,15,808.01,48,38784.48,648.02,7679.52
2024-01-26,P014,Product_14,Apparel,Rajasthan,Udaipur,Clearance,939.81,10,845.83,39,32987.37,510.18,13090.35
2024-02-18,P013,Product_13,Beauty,Maharashtra,Mumbai,Diwali,561.06,15,476.9,13,6199.7,346.49,1695.33
2024-02-22,P007,Product_7,Home,West Bengal,Kolkata,,711.01,5,675.46,58,39176.68,463.82,12275.12
2024-01-25,P005,Product_5,Electronics,Rajasthan,Jaipur,Summer Sale,798.84,30,559.19,62,34669.78,589.41,-1873.64
2024-04-26,P014,Product_14,Apparel,Rajasthan,Jaipur,Clearance,705.92,20,564.74,3,1694.22,471.7,279.12
2024-01-25,P009,Product_9,Beauty,Tamil Nadu,Chennai,Summer Sale,299.71,20,239.77,26,6234.02,172.63,1745.64
2024-03-05,P002,Product_2,Apparel,Telangana,Warangal,New Year,758.18,15,644.45,73,47044.85,500.93,10476.96
2024-04-24,P016,Product_16,Electronics,Uttar Pradesh,Lucknow,Summer Sale,518.55,25,388.91,86,33446.26,390.47,-134.16
2024-03-23,P003,Product_3,Apparel,Uttar Pradesh,Varanasi,Diwali,214.65,25,160.99,71,11430.29,136.39,1746.6
2024-01-03,P009,Product_9,Beauty,Tamil Nadu,Madurai,,838.54,15,712.76,41,29223.16,641.29,2930.27
2024-04-13,P001,Product_1,Apparel,Delhi,New Delhi,Diwali,112.03,25,84.02,46,3864.92,69.05,688.62
2024-01-08,P007,Product_7,Home,Delhi,New Delhi,Summer Sale,113.96,15,96.87,48,4649.76,64.09,1573.44
2024-04-13,P020,Product_20,Beauty,Rajasthan,Udaipur,Clearance,889.62,0,889.62,76,67611.12,493.31,30119.56
2024-02-18,P007,Product_7,Home,Kerala,Kochi,Diwali,971.26,15,825.57,92,75952.44,644.6,16649.24
2024-04-27,P010,Product_10,Home,Telangana,Warangal,New Year,166.69,30,116.68,66,7700.88,109.02,505.56
2024-04-15,P010,Product_10,Home,Karnataka,Hubli,Clearance,490.13,25,367.6,64,23526.4,383.66,-1027.84
2024-03-18,P002,Product_2,Apparel,West Bengal,Siliguri,,389.05,30,272.33,83,22603.39,202.7,5779.29
2024-01-04,P015,Product_15,Beauty,Gujarat,Surat,Diwali,435.28,30,304.7,59,17977.3,309.92,-307.98
2024-04-16,P010,Product_10,Home,Telangana,Hyderabad,,517.81,10,466.03,75,34952.25,360.92,7883.25
2024-03-02,P005,Product_5,Electronics,Maharashtra,Mumbai,,936.36,15,795.91,30,23877.3,529.32,7997.7
2024-04-07,P008,Product_8,Electronics,Kerala,Kochi,New Year,858.09,15,729.38,9,6564.42,430.41,2690.73
2024-02-05,P008,Product_8,Electronics,Tamil Nadu,Chennai,Diwali,795.53,25,596.65,79,47135.35,409.38,14794.33
2024-02-14,P014,Product_14,Apparel,Rajasthan,Jaipur,Clearance,789.86,20,631.89,58,36649.62,580.22,2996.86
2024-03-21,P010,Product_10,Home,Gujarat,Surat,New Year,415.18,15,352.9,96,33878.4,272.11,7755.84
2024-01-29,P005,Product_5,Electronics,Telangana,Warangal,Summer Sale,113.17,30,79.22,83,6575.26,77.65,130.31
2024-04-01,P020,Product_20,Beauty,Telangana,Warangal,Diwali,447.96,0,447.96,92,41212.32,250.18,18195.76
2024-03-27,P010,Product_10,Home,West Bengal,Kolkata,New Year,451.68,30,316.18,58,18338.44,348.91,-1898.34
2024-02-05,P016,Product_16,Electronics,Rajasthan,Udaipur,Summer Sale,644.87,10,580.38,21,12187.98,448.98,2759.4
2024-03-16,P009,Product_9,Beauty,Tamil Nadu,Chennai,New Year,867.33,5,823.96,86,70860.56,630.97,16597.14
2024-01-16,P012,Product_12,Apparel,Telangana,Hyderabad,Summer Sale,526.53,30,368.57,13,4791.41,375.85,-94.64
2024-04-18,P005,Product_5,Electronics,Tamil Nadu,Madurai,Summer Sale,282.03,0,282.03,59,16639.77,156.7,7394.47
2024-01-10,P010,Product_10,Home,Gujarat,Ahmedabad,New Year,293.42,15,249.41,94,23444.54,223.17,2466.56
2024-03-30,P011,Product_11,Home,Telangana,Hyderabad,New Year,556.35,5,528.53,79,41753.87,371.3,12421.17
2024-01-23,P013,Product_13,Beauty,West Bengal,Kolkata,Diwali,726.54,25,544.9,12,6538.8,460.01,1018.68
2024-03-02,P016,Product_16,Electronics,Karnataka,Mysuru,,693.56,30,485.49,96,46607.04,436.48,4704.96
2024-04-03,P012,Product_12,Apparel,Delhi,New Delhi,,723.12,0,723.12,67,48449.04,565.28,10575.28
2024-01-28,P017,Product_17,Apparel,Telangana,Warangal,Clearance,302.54,25,226.91,94,21329.54,175.73,4810.92
2024-01-07,P020,Product_20,Beauty,Karnataka,Mysuru,,516.8,25,387.6,13,5038.8,359.91,359.97
2024-01-04,P018,Product_18,Electronics,Rajasthan,Jaipur,,338.17,25,253.63,53,13442.39,251.76,99.11
2024-04-10,P001,Product_1,Apparel,Kerala,Kochi,Clearance,515.37,10,463.83,70,32468.1,379.32,5915.7
2024-01-01,P015,Product_15,Beauty,Tamil Nadu,Coimbatore,,773.05,0,773.05,33,25510.65,486.79,9446.58
2024-01-21,P005,Product_5,Electronics,West Bengal,Siliguri,Diwali,517.59,15,439.95,22,9678.9,264.02,3870.46
2024-04-29,P012,Product_12,Apparel,West Bengal,Kolkata,Diwali,899.62,0,899.62,79,71069.98,600.23,23651.81
2024-02-25,P007,Product_7,Home,Uttar Pradesh,Kanpur,Diwali,872.31,0,872.31,48,41870.88,520.69,16877.76
2024-03-17,P018,Product_18,Electronics,Uttar Pradesh,Kanpur,Diwali,280.96,5,266.91,29,7740.39,177.26,2599.85
2024-04-06,P013,Product_13,Beauty,Gujarat,Surat,New Year,842.87,15,716.44,2,1432.88,610.58,211.72
2024-01-20,P007,Product_7,Home,Maharashtra,Mumbai,Diwali,619.03,0,619.03,38,23523.14,327.14,11091.82
2024-04-05,P003,Product_3,Apparel,Kerala,Kochi,,912.78,25,684.59,61,41759.99,661.27,1422.52
2024-02-04,P001,Product_1,Apparel,West Bengal,Siliguri,Clearance,706.83,10,636.15,67,42622.05,564.96,4769.73
2024-04-22,P020,Product_20,Beauty,Rajasthan,Udaipur,New Year,614.05,15,521.94,16,8351.04,382.77,2226.72
2024-04-24,P011,Product_11,Home,Rajasthan,Udaipur,Summer Sale,965.04,0,965.04,75,72378.0,586.87,28362.75
2024-02-17,P020,Product_20,Beauty,West Bengal,Siliguri,Summer Sale,465.41,20,372.33,30,11169.9,276.38,2878.5
2024-03-18,P015,Product_15,Beauty,Telangana,Warangal,Diwali,380.98,5,361.93,86,31125.98,192.13,14602.8
2024-02-01,P010,Product_10,Home,Telangana,Warangal,New Year,924.94,25,693.71,49,33991.79,674.0,965.79
2024-03-20,P010,Product_10,Home,Tamil Nadu,Chennai,Summer Sale,219.38,5,208.41,58,12087.78,146.77,3575.12
2024-03-08,P016,Product_16,Electronics,Uttar Pradesh,Kanpur,Summer Sale,473.33,30,331.33,10,3313.3,292.13,392.0
2024-03-14,P016,Product_16,Electronics,Karnataka,Hubli,New Year,991.61,0,991.61,19,18840.59,627.38,6920.37
2024-03-23,P001,Product_1,Apparel,Tamil Nadu,Coimbatore,Clearance,224.59,5,213.36,25,5334.0,127.72,2141.0
2024-02-24,P015,Product_15,Beauty,Tamil Nadu,Chennai,Summer Sale,881.57,10,793.41,11,8727.51,686.52,1175.79
2024-02-20,P016,Product_16,Electronics,Karnataka,Mysuru,,656.67,20,525.34,63,33096.42,370.03,9784.53
2024-04-22,P005,Product_5,Electronics,Tamil Nadu,Coimbatore,,498.75,25,374.06,50,18703.0,346.56,1375.0
2024-03-15,P006,Product_6,Apparel,Telangana,Warangal,New Year,515.05,25,386.29,38,14679.02,349.18,1410.18
2024-02-24,P019,Product_19,Beauty,Gujarat,Ahmedabad,,954.28,30,668.0,61,40748.0,670.32,-141.52
2024-02-13,P010,Product_10,Home,West Bengal,Siliguri,,877.28,5,833.42,87,72507.54,682.1,13164.84
2024-03-29,P015,Product_15,Beauty,Kerala,Kochi,Clearance,550.32,0,550.32,41,22563.12,381.52,6920.8
2024-03-05,P018,Product_18,Electronics,Karnataka,Bengaluru,Diwali,683.78,5,649.59,74,48069.66,455.68,14349.34
2024-04-13,P015,Product_15,Beauty,Tamil Nadu,Madurai,Clearance,672.35,0,672.35,4,2689.4,419.65,1010.8
2024-03-21,P001,Product_1,Apparel,Rajasthan,Jaipur,Summer Sale,734.63,15,624.44,86,53701.84,495.08,11124.96
2024-02-19,P015,Product_15,Beauty,Gujarat,Surat,,853.63,20,682.9,14,9560.6,442.34,3367.84
2024-01-12,P014,Product_14,Apparel,Tamil Nadu,Madurai,Diwali,801.19,30,560.83,59,33088.97,568.76,-467.87
2024-01-03,P005,Product_5,Electronics,Telangana,Hyderabad,New Year,509.39,30,356.57,20,7131.4,401.54,-899.4
2024-03-17,P002,Product_2,Apparel,Karnataka,Mysuru,,675.13,15,573.86,90,51647.4,418.96,13941.0
2024-02-05,P019,Product_19,Beauty,Tamil Nadu,Madurai,,626.05,30,438.23,49,21473.27,365.05,3585.82
2024-02-09,P017,Product_17,Apparel,Karnataka,Bengaluru,Clearance,170.7,0,170.7,75,12802.5,115.71,4124.25
2024-02-09,P010,Product_10,Home,Gujarat,Vadodara,Diwali,634.67,30,444.27,20,8885.4,323.38,2417.8
2024-04-25,P019,Product_19,Beauty,Telangana,Hyderabad,,307.72,25,230.79,81,18693.99,209.88,1693.71
2024-01-07,P020,Product_20,Beauty,Gujarat,Vadodara,,321.66,10,289.49,46,13316.54,224.43,2992.76
2024-02-17,P015,Product_15,Beauty,Rajasthan,Udaipur,Diwali,551.42,5,523.85,59,30907.15,422.29,5992.04
2024-03-13,P019,Product_19,Beauty,Delhi,New Delhi,Summer Sale,437.9,20,350.32,87,30477.84,256.59,8154.51
2024-03-21,P014,Product_14,Apparel,Gujarat,Vadodara,New Year,997.51,0,997.51,84,83790.84,563.46,36460.2
2024-04-04,P016,Product_16,Electronics,Gujarat,Ahmedabad,New Year,660.37,5,627.35,57,35758.95,422.31,11687.28
2024-02-22,P003,Product_3,Apparel,Kerala,Kochi,New Year,798.32,5,758.4,20,15168.0,482.39,5520.2
2024-02-11,P001,Product_1,Apparel,West Bengal,Kolkata,Diwali,977.81,25,733.36,49,35934.64,685.24,2357.88
2024-04-07,P013,Product_13,Beauty,Uttar Pradesh,Lucknow,Clearance,944.17,0,944.17,19,17939.23,628.4,5999.63
2024-01-20,P011,Product_11,Home,Gujarat,Surat,Summer Sale,163.93,5,155.73,58,9032.34,93.24,3624.42
2024-02-21,P013,Product_13,Beauty,Uttar Pradesh,Varanasi,New Year,149.7,30,104.79,88,9221.52,79.38,2236.08
2024-02-09,P016,Product_16,Electronics,Delhi,New Delhi,New Year,494.61,30,346.23,84,29083.32,391.69,-3818.64
2024-01-11,P008,Product_8,Electronics,Telangana,Hyderabad,Diwali,202.99,15,172.54,56,9662.24,110.97,3447.92
2024-02-25,P018,Product_18,Electronics,Tamil Nadu,Chennai,New Year,393.63,30,275.54,8,2204.32,222.76,422.24
2024-02-05,P004,Product_4,Beauty,Karnataka,Mysuru,Diwali,216.71,10,195.04,39,7606.56,132.12,2453.88
2024-01-26,P009,Product_9,Beauty,Uttar Pradesh,Kanpur,,706.59,15,600.6,96,57657.6,560.05,3892.8
2024-02-07,P011,Product_11,Home,Delhi,New Delhi,New Year,828.12,10,745.31,95,70804.45,607.05,13134.7
2024-01-31,P014,Product_14,Apparel,Delhi,New Delhi,Clearance,878.19,10,790.37,87,68762.19,465.07,28301.1
2024-03-02,P019,Product_19,Beauty,Rajasthan,Udaipur,New Year,372.18,25,279.13,92,25679.96,255.0,2219.96
2024-04-19,P001,Product_1,Apparel,Delhi,New Delhi,Summer Sale,223.43,15,189.92,10,1899.2,145.6,443.2
2024-03-02,P012,Product_12,Apparel,Delhi,New Delhi,Diwali,380.52,30,266.36,44,11719.84,221.5,1973.84
2024-04-04,P001,Product_1,Apparel,West Bengal,Kolkata,Clearance,887.87,5,843.48,65,54826.2,566.35,18013.45
2024-02-25,P020,Product_20,Beauty,Uttar Pradesh,Varanasi,Diwali,456.14,10,410.53,55,22579.15,235.87,9606.3
2024-02-17,P013,Product_13,Beauty,Delhi,New Delhi,Diwali,427.43,15,363.32,22,7993.04,306.68,1246.08
2024-01-15,P017,Product_17,Apparel,Rajasthan,Jaipur,Clearance,592.51,20,474.01,76,36024.76,434.38,3011.88
2024-02-08,P001,Product_1,Apparel,Tamil Nadu,Coimbatore,Diwali,279.32,30,195.52,79,15446.08,184.74,851.62
2024-01-20,P020,Product_20,Beauty,Tamil Nadu,Coimbatore,,606.3,25,454.72,32,14551.04,464.94,-327.04
2024-03-20,P004,Product_4,Beauty,West Bengal,Kolkata,Clearance,114.24,10,102.82,85,8739.7,73.89,2459.05
2024-03-23,P019,Product_19,Beauty,Gujarat,Surat,Summer Sale,690.45,0,690.45,76,52474.2,445.31,18630.64
2024-01-16,P015,Product_15,Beauty,Karnataka,Mysuru,New Year,692.27,15,588.43,99,58254.57,512.22,7544.79
2024-04-05,P001,Product_1,Apparel,Gujarat,Ahmedabad,Diwali,395.41,25,296.56,68,20166.08,247.07,3365.32
2024-04-22,P017,Product_17,Apparel,West Bengal,Siliguri,New Year,213.4,15,181.39,13,2358.07,163.67,230.36
2024-02-29,P007,Product_7,Home,Tamil Nadu,Chennai,Clearance,257.94,25,193.45,83,16056.35,185.94,623.33
2024-02-08,P003,Product_3,Apparel,Kerala,Thiruvananthapuram,New Year,540.66,15,459.56,95,43658.2,335.66,11770.5
2024-04-11,P020,Product_20,Beauty,Delhi,New Delhi,Diwali,939.09,25,704.32,77,54232.64,655.95,3724.49
2024-03-07,P017,Product_17,Apparel,Uttar Pradesh,Kanpur,Diwali,218.49,15,185.72,92,17086.24,120.08,6038.88
2024-04-05,P012,Product_12,Apparel,Gujarat,Vadodara,Clearance,296.84,5,282.0,98,27636.0,228.85,5208.7
2024-03-02,P002,Product_2,Apparel,Kerala,Kochi,Diwali,934.41,20,747.53,72,53822.16,623.84,8905.68
2024-01-10,P015,Product_15,Beauty,Uttar Pradesh,Kanpur,Diwali,228.7,15,194.39,78,15162.42,131.69,4890.6
2024-02-28,P011,Product_11,Home,Maharashtra,Pune,Diwali,430.65,10,387.58,59,22867.22,258.93,7590.35
2024-03-29,P006,Product_6,Apparel,West Bengal,Kolkata,,860.61,0,860.61,69,59382.09,475.52,26571.21
2024-03-24,P008,Product_8,Electronics,Telangana,Warangal,Summer Sale,122.71,20,98.17,31,3043.27,69.39,892.18
2024-02-14,P003,Product_3,Apparel,Kerala,Thiruvananthapuram,Summer Sale,324.7,20,259.76,22,5714.72,235.57,532.18
2024-03-17,P005,Product_5,Electronics,Gujarat,Surat,,883.6,30,618.52,49,30307.48,608.09,511.07
2024-01-15,P016,Product_16,Electronics,Maharashtra,Nagpur,Summer Sale,308.85,5,293.41,36,10562.76,196.89,3474.72
2024-04-23,P008,Product_8,Electronics,Tamil Nadu,Madurai,Summer Sale,279.55,20,223.64,24,5367.36,180.54,1034.4
2024-01-08,P007,Product_7,Home,Delhi,New Delhi,New Year,953.65,5,905.97,23,20837.31,560.21,7952.48
2024-04-10,P005,Product_5,Electronics,Telangana,Warangal,,932.07,30,652.45,59,38494.55,631.0,1265.55
2024-04-28,P016,Product_16,Electronics,Maharashtra,Nagpur,Clearance,519.67,0,519.67,89,46250.63,369.35,13378.48
2024-01-30,P017,Product_17,Apparel,Kerala,Thiruvananthapuram,,538.54,25,403.9,82,33119.8,352.14,4244.32
2024-04-19,P012,Product_12,Apparel,Uttar Pradesh,Lucknow,Diwali,999.6,10,899.64,96,86365.44,612.5,27565.44
2024-04-03,P019,Product_19,Beauty,Karnataka,Mysuru,,844.8,10,760.32,13,9884.16,593.32,2171.0
2024-03-23,P001,Product_1,Apparel,Gujarat,Surat,Clearance,284.0,20,227.2,55,12496.0,197.09,1656.05
2024-04-17,P002,Product_2,Apparel,Kerala,Kochi,Diwali,653.62,30,457.53,73,33399.69,418.64,2838.97
2024-01-30,P016,Product_16,Electronics,Kerala,Thiruvananthapuram,,551.15,5,523.59,87,45552.33,379.13,12568.02
2024-04-20,P003,Product_3,Apparel,Karnataka,Bengaluru,Summer Sale,596.04,25,447.03,52,23245.56,464.03,-884.0
2024-03-20,P005,Product_5,Electronics,West Bengal,Siliguri,Clearance,244.61,30,171.23,99,16951.77,177.62,-632.61
2024-04-18,P019,Product_19,Beauty,Kerala,Kochi,Diwali,313.73,25,235.3,15,3529.5,200.69,519.15
2024-01-27,P012,Product_12,Apparel,Tamil Nadu,Coimbatore,New Year,200.43,10,180.39,57,10282.23,111.59,3921.6
2024-02-11,P017,Product_17,Apparel,West Bengal,Kolkata,Clearance,256.15,10,230.53,65,14984.45,175.01,3608.8
2024-04-04,P019,Product_19,Beauty,Kerala,Kochi,Clearance,452.88,20,362.3,11,3985.3,303.67,644.93
2024-03-25,P008,Product_8,Electronics,Maharashtra,Pune,Summer Sale,795.49,10,715.94,32,22910.08,530.54,5932.8
2024-03-26,P008,Product_8,Electronics,Tamil Nadu,Madurai,Summer Sale,609.2,15,517.82,23,11909.86,474.08,1006.02
2024-04-24,P010,Product_10,Home,Rajasthan,Udaipur,Diwali,159.55,15,135.62,37,5017.94,115.65,738.89
2024-01-11,P019,Product_19,Beauty,Karnataka,Hubli,,572.26,0,572.26,49,28040.74,326.38,12048.12
2024-03-03,P004,Product_4,Beauty,Maharashtra,Mumbai,,363.26,15,308.77,21,6484.17,286.41,469.56
2024-01-06,P001,Product_1,Apparel,Karnataka,Bengaluru,New Year,137.35,5,130.48,28,3653.44,93.29,1041.32
2024-04-28,P007,Product_7,Home,Karnataka,Bengaluru,Clearance,710.65,5,675.12,28,18903.36,536.14,3891.44
2024-02-18,P007,Product_7,Home,Maharashtra,Pune,Diwali,639.66,25,479.75,68,32623.0,387.07,6302.24
2024-02-27,P010,Product_10,Home,Karnataka,Bengaluru,Diwali,353.45,0,353.45,58,20500.1,225.04,7447.78
2024-02-27,P010,Product_10,Home,Uttar Pradesh,Kanpur,New Year,744.44,30,521.11,60,31266.6,593.34,-4333.8
2024-01-01,P014,Product_14,Apparel,Gujarat,Vadodara,New Year,350.32,5,332.8,56,18636.8,221.7,6221.6
2024-03-03,P018,Product_18,Electronics,Tamil Nadu,Chennai,Clearance,180.09,15,153.08,48,7347.84,135.13,861.6
2024-01-04,P018,Product_18,Electronics,Tamil Nadu,Chennai,Diwali,986.36,5,937.04,88,82459.52,603.41,29359.44
2024-01-16,P008,Product_8,Electronics,Maharashtra,Pune,Diwali,278.64,5,264.71,27,7147.17,147.04,3177.09
2024-01-14,P011,Product_11,Home,West Bengal,Kolkata,Clearance,739.12,20,591.3,31,18330.3,402.93,5839.47
2024-01-24,P006,Product_6,Apparel,Rajasthan,Jaipur,Summer Sale,503.9,5,478.7,34,16275.8,280.58,6736.08
2024-03-04,P016,Product_16,Electronics,Karnataka,Mysuru,Summer Sale,523.86,10,471.47,73,34417.31,379.98,6678.77
2024-01-05,P009,Product_9,Beauty,Tamil Nadu,Coimbatore,Summer Sale,345.74,10,311.17,83,25827.11,266.67,3693.5
2024-01-15,P008,Product_8,Electronics,Gujarat,Ahmedabad,New Year,203.32,30,142.32,27,3842.64,105.05,1006.29
2024-02-16,P008,Product_8,Electronics,West Bengal,Siliguri,Summer Sale,516.15,25,387.11,53,20516.83,296.7,4791.73
2024-01-12,P007,Product_7,Home,Gujarat,Surat,Diwali,462.17,10,415.95,95,39515.25,280.55,12863.0
2024-04-21,P014,Product_14,Apparel,Karnataka,Mysuru,New Year,918.26,30,642.78,87,55921.86,541.46,8814.84
2024-01-03,P015,Product_15,Beauty,Rajasthan,Udaipur,New Year,344.47,30,241.13,89,21460.57,247.64,-579.39
2024-04-25,P002,Product_2,Apparel,Telangana,Hyderabad,New Year,407.9,10,367.11,89,32672.79,309.57,5121.06
2024-04-25,P020,Product_20,Beauty,West Bengal,Kolkata,Diwali,207.9,5,197.5,62,12245.0,134.25,3921.5
2024-04-19,P008,Product_8,Electronics,Gujarat,Ahmedabad,,359.15,10,323.24,15,4848.6,281.92,619.8
2024-03-28,P016,Product_16,Electronics,Karnataka,Mysuru,Diwali,636.47,5,604.65,46,27813.9,438.96,7621.74
2024-04-16,P001,Product_1,Apparel,Kerala,Thiruvananthapuram,,204.92,0,204.92,5,1024.6,124.29,403.15
2024-03-31,P009,Product_9,Beauty,Tamil Nadu,Coimbatore,Diwali,409.56,20,327.65,47,15399.55,206.64,5687.47
2024-04-13,P014,Product_14,Apparel,West Bengal,Kolkata,Clearance,938.4,20,750.72,92,69066.24,714.97,3289.0
2024-01-10,P003,Product_3,Apparel,Maharashtra,Nagpur,New Year,691.33,30,483.93,67,32423.31,430.88,3554.35
2024-03-01,P007,Product_7,Home,Karnataka,Mysuru,Diwali,394.12,10,354.71,72,25539.12,294.79,4314.24
2024-02-25,P011,Product_11,Home,Uttar Pradesh,Lucknow,Diwali,801.99,5,761.89,53,40380.17,512.63,13210.78
2024-02-28,P003,Product_3,Apparel,Kerala,Kochi,Diwali,182.95,30,128.06,93,11909.58,103.89,2247.81
2024-02-20,P011,Product_11,Home,Telangana,Warangal,Summer Sale,635.36,25,476.52,65,30973.8,451.05,1655.55
2024-02-08,P020,Product_20,Beauty,Rajasthan,Udaipur,,692.85,10,623.57,92,57368.44,392.79,21231.76
2024-03-01,P007,Product_7,Home,West Bengal,Kolkata,Clearance,255.27,5,242.51,72,17460.72,150.33,6636.96
2024-03-13,P014,Product_14,Apparel,Maharashtra,Nagpur,Diwali,321.62,30,225.13,92,20711.96,255.71,-2813.36
2024-04-20,P008,Product_8,Electronics,Karnataka,Hubli,Summer Sale,128.6,5,122.17,58,7085.86,80.94,2391.34
2024-03-16,P018,Product_18,Electronics,Maharashtra,Mumbai,New Year,229.88,30,160.92,31,4988.52,118.58,1312.54
2024-04-20,P008,Product_8,Electronics,Tamil Nadu,Madurai,Diwali,571.23,30,399.86,22,8796.92,324.43,1659.46
2024-02-11,P009,Product_9,Beauty,Gujarat,Vadodara,Summer Sale,616.99,5,586.14,63,36926.82,435.98,9460.08
2024-04-08,P008,Product_8,Electronics,Maharashtra,Pune,Summer Sale,841.2,25,630.9,81,51102.9,439.89,15471.81
2024-01-17,P001,Product_1,Apparel,Tamil Nadu,Madurai,,415.74,5,394.95,8,3159.6,227.61,1338.72
2024-02-07,P004,Product_4,Beauty,Rajasthan,Jaipur,Diwali,395.36,30,276.75,90,24907.5,216.19,5450.4
2024-02-04,P004,Product_4,Beauty,West Bengal,Siliguri,,520.02,15,442.02,78,34477.56,402.43,3088.02
2024-02-23,P017,Product_17,Apparel,Karnataka,Hubli,Diwali,299.11,10,269.2,72,19382.4,222.1,3391.2
2024-04-26,P010,Product_10,Home,Tamil Nadu,Coimbatore,Summer Sale,785.7,10,707.13,13,9192.69,501.07,2678.78
2024-03-26,P004,Product_4,Beauty,Kerala,Thiruvananthapuram,Summer Sale,283.82,0,283.82,60,17029.2,152.01,7908.6
2024-01-26,P003,Product_3,Apparel,Telangana,Hyderabad,New Year,168.91,5,160.46,23,3690.58,111.39,1128.61
2024-03-10,P016,Product_16,Electronics,Kerala,Kochi,New Year,943.4,5,896.23,90,80660.7,587.1,27821.7
2024-01-14,P007,Product_7,Home,Kerala,Kochi,New Year,688.74,30,482.12,18,8678.16,412.99,1244.34
2024-04-28,P003,Product_3,Apparel,Kerala,Thiruvananthapuram,Summer Sale,860.38,20,688.3,7,4818.1,538.0,1052.1
2024-04-17,P013,Product_13,Beauty,Rajasthan,Udaipur,Summer Sale,561.07,0,561.07,63,35347.41,438.5,7721.91
2024-04-09,P016,Product_16,Electronics,Karnataka,Bengaluru,Summer Sale,724.0,25,543.0,35,19005.0,439.03,3638.95
2024-01-24,P001,Product_1,Apparel,Telangana,Warangal,Summer Sale,713.22,25,534.91,48,25675.68,366.62,8077.92
2024-02-19,P020,Product_20,Beauty,Rajasthan,Jaipur,Diwali,650.65,30,455.45,17,7742.65,500.86,-771.97
2024-03-10,P016,Product_16,Electronics,Delhi,New Delhi,,195.29,5,185.53,32,5936.96,141.59,1406.08
2024-03-19,P007,Product_7,Home,Delhi,New Delhi,Diwali,708.24,10,637.42,14,8923.88,413.21,3138.94
